	sample	r^2_of_nonlinear_model
0	T112	0.5295858047264843
1	N112	0.8383985426474431
2	T113	0.554247630307784
3	N113	0.8581039215463465
4	T123	0.3226513150049335
5	N123	0.9131420725762843
6	T125	0.7611054212255731
7	N125	0.8596425905036829
8	T127	0.5638318026088897
9	N127	0.6890208084779659
10	T131	0.5570758152947664
11	N131	0.6149813053738952
12	T135	0.8036271040339792
13	N135	0.8282129846257338
14	T137	0.5514739101751567
15	N137	0.7353719909223112
16	T141	0.6302578648822555
17	N141	0.6647459734580508
18	T145	0.78385148289019
19	N145	0.8037808652107891
