	sample	r^2_of_u_natural_cubic_model
0	T112	0.7875647469962306
1	N112	0.9318657923539033
2	T113	0.7223144567419981
3	N113	0.946954437609086
4	T123	0.863074371482311
5	N123	0.9691892550464655
6	T125	0.9582289608328421
7	N125	0.9695308920283756
8	T127	0.8944157340857644
9	N127	0.8833613229653328
10	T131	0.7443729450209917
11	N131	0.8604049234271933
12	T135	0.5133267493247713
13	N135	0.9110170742332766
14	T137	0.6856485038785625
15	N137	0.8905080715278387
16	T141	0.8126149844248545
17	N141	0.657990365904881
18	T145	0.9605118367437375
19	N145	0.9407610571047164
